date,total_covers,revenue,weather,local_event
2026-07-27,140,4676.00,clear,no
2026-07-28,147,4961.25,clear,no
2026-07-29,155,5285.50,cloudy,no
2026-07-30,173,5959.85,clear,no
2026-07-31,219,7621.20,rain,no
2026-08-01,319,10654.60,clear,yes
2026-08-02,193,6513.75,hot,no
2026-08-03,148,5046.80,clear,no
2026-08-04,155,5339.75,cloudy,no
2026-08-05,163,5672.40,clear,no
2026-08-06,167,5577.80,rain,no
2026-08-07,241,8133.75,clear,no
2026-08-08,288,9820.80,hot,no
2026-08-09,208,7165.60,clear,no
2026-08-10,153,5324.40,cloudy,no
2026-08-11,160,5344.00,clear,no
2026-08-12,154,5197.50,rain,no
2026-08-13,186,6342.60,clear,no
2026-08-14,239,8233.55,hot,no
2026-08-15,332,11553.60,clear,yes
2026-08-16,213,7114.20,clear,no
2026-08-17,143,4826.25,clear,no
2026-08-18,136,4637.60,rain,no
2026-08-19,158,5443.10,clear,no
2026-08-20,169,5881.20,hot,no
2026-08-21,236,7882.40,clear,no
2026-08-22,322,10867.50,clear,yes
2026-08-23,203,6922.30,cloudy,no
2026-08-24,135,4650.75,rain,no
2026-08-25,156,5428.80,clear,no
2026-08-26,157,5243.80,hot,no
2026-08-27,182,6142.50,clear,no
