ingredient_id,name,unit,unit_cost
oyster-fritter-portion,Oyster fritter portion,each,4.20
ham-biscuit-portion,Country ham biscuit portion,each,2.80
trout-dip-cup,Smoked trout dip,cup,4.60
peanut-soup-cup,Virginia peanut soup,cup,2.10
garden-produce-portion,Garden salad produce,each,3.30
roasted-chicken-portion,Roasted chicken portion,each,5.40
ground-beef,Ground beef,pound,14.0
po-boy-oyster-portion,Fried oyster po-boy portion,each,6.80
pulled-pork-portion,Applewood pulled pork portion,each,5.10
crab-cake-portion,Crab cake portion,each,9.00
rockfish-fillet,Rockfish fillet,each,9.80
shrimp-grits-portion,Shrimp and grits portion,each,8.40
fried-chicken-portion,Buttermilk chicken portion,each,6.70
pork-chop-portion,Cider-brined pork chop,each,7.80
beef-tenderloin-portion,Beef tenderloin portion,each,12.00
vegetable-pot-pie-portion,Vegetable pot pie portion,each,4.90
chess-pie-slice,Chess pie slice,each,2.20
peach-cobbler-portion,Peach cobbler portion,each,2.80
sweet-tea,House sweet tea,fluid ounce,0.034375
ginger-spritz,Ginger spritz,fluid ounce,0.20
