ingredient_id,quantity_on_hand,count_date
oyster-fritter-portion,20.23,2026-08-28
ham-biscuit-portion,21.98,2026-08-28
trout-dip-cup,10.50,2026-08-28
peanut-soup-cup,13.80,2026-08-28
garden-produce-portion,13.31,2026-08-28
roasted-chicken-portion,10.64,2026-08-28
ground-beef,17.53,2026-08-28
po-boy-oyster-portion,14.59,2026-08-28
pulled-pork-portion,22.42,2026-08-28
crab-cake-portion,21.17,2026-08-28
rockfish-fillet,11.14,2026-08-28
shrimp-grits-portion,20.98,2026-08-28
fried-chicken-portion,27.86,2026-08-28
pork-chop-portion,14.95,2026-08-28
beef-tenderloin-portion,8.91,2026-08-28
vegetable-pot-pie-portion,9.67,2026-08-28
chess-pie-slice,17.64,2026-08-28
peach-cobbler-portion,14.08,2026-08-28
sweet-tea,534.92,2026-08-28
ginger-spritz,59.79,2026-08-28
