shift_id,date,employee_id,role,shift_start,shift_end,hourly_cost
fri-001,2026-08-28,jrk-h01,host,16:00,22:30,18.00
fri-002,2026-08-28,jrk-h02,host,16:30,22:30,17.50
fri-003,2026-08-28,jrk-s01,server,16:00,23:00,15.00
fri-004,2026-08-28,jrk-s02,server,16:00,23:00,15.50
fri-005,2026-08-28,jrk-s03,server,16:30,23:00,14.75
fri-006,2026-08-28,jrk-s04,server,16:30,23:00,15.00
fri-007,2026-08-28,jrk-s05,server,17:00,23:00,14.50
fri-008,2026-08-28,jrk-s06,server,17:00,23:00,15.25
fri-009,2026-08-28,jrk-s07,server,17:30,22:30,14.75
fri-010,2026-08-28,jrk-b01,bartender,15:30,23:30,19.50
fri-011,2026-08-28,jrk-b02,bartender,16:00,23:30,19.00
fri-012,2026-08-28,jrk-b03,bartender,17:00,23:00,18.50
fri-013,2026-08-28,jrk-c01,cook,14:00,23:00,21.00
fri-014,2026-08-28,jrk-c02,cook,14:30,23:00,20.50
fri-015,2026-08-28,jrk-c03,cook,15:00,23:00,20.00
fri-016,2026-08-28,jrk-c04,cook,15:30,23:00,19.50
fri-017,2026-08-28,jrk-c05,cook,16:00,23:00,20.00
fri-018,2026-08-28,jrk-c06,cook,16:00,22:30,19.00
fri-019,2026-08-28,jrk-u01,support,14:00,22:00,17.00
fri-020,2026-08-28,jrk-u02,support,15:00,23:00,17.50
fri-021,2026-08-28,jrk-u03,support,16:00,23:30,16.50
fri-022,2026-08-28,jrk-u04,support,17:00,23:30,16.00
