period,item_id,units_sold
July 2026,oyster-fritters,305
July 2026,ham-biscuits,355
July 2026,smoked-trout-dip,190
July 2026,peanut-soup,240
July 2026,garden-salad,215
July 2026,chicken-salad,185
July 2026,river-burger,610
July 2026,fried-oyster-po-boy,275
July 2026,pulled-pork-sandwich,390
July 2026,crab-cake-dinner,420
July 2026,rockfish,225
July 2026,shrimp-grits,365
July 2026,fried-chicken,450
July 2026,pork-chop,260
July 2026,beef-tenderloin,155
July 2026,vegetable-pot-pie,175
July 2026,chess-pie,285
July 2026,peach-cobbler,245
July 2026,sweet-tea,540
July 2026,ginger-spritz,130
