menu_item_id,ingredient_id,quantity
oyster-fritters,oyster-fritter-portion,1
ham-biscuits,ham-biscuit-portion,1
smoked-trout-dip,trout-dip-cup,1
peanut-soup,peanut-soup-cup,1
garden-salad,garden-produce-portion,1
chicken-salad,roasted-chicken-portion,1
river-burger,ground-beef,0.5
fried-oyster-po-boy,po-boy-oyster-portion,1
pulled-pork-sandwich,pulled-pork-portion,1
crab-cake-dinner,crab-cake-portion,1
rockfish,rockfish-fillet,1
shrimp-grits,shrimp-grits-portion,1
fried-chicken,fried-chicken-portion,1
pork-chop,pork-chop-portion,1
beef-tenderloin,beef-tenderloin-portion,1
vegetable-pot-pie,vegetable-pot-pie-portion,1
chess-pie,chess-pie-slice,1
peach-cobbler,peach-cobbler-portion,1
sweet-tea,sweet-tea,16
ginger-spritz,ginger-spritz,8
