date,booked_covers
2026-07-27,80
2026-07-28,84
2026-07-29,89
2026-07-30,99
2026-07-31,134
2026-08-01,165
2026-08-02,115
2026-08-03,86
2026-08-04,90
2026-08-05,95
2026-08-06,105
2026-08-07,140
2026-08-08,171
2026-08-09,121
2026-08-10,89
2026-08-11,93
2026-08-12,98
2026-08-13,108
2026-08-14,143
2026-08-15,174
2026-08-16,124
2026-08-17,83
2026-08-18,87
2026-08-19,92
2026-08-20,102
2026-08-21,137
2026-08-22,168
2026-08-23,118
2026-08-24,87
2026-08-25,91
2026-08-26,96
2026-08-27,106
2026-08-28,174
